Identifier,Latitude,Longitude,Folder,Date,City/Town ,Property Owner ,Survey Title ,Streets ,Neighbors ,Notes,Background Notes ,Material Type,Surveyor 
Perkins_M_T210-7_bp,42.41731,-71.180533,T210 bp,1927-08-23,"Arlington, MA","Braithwaite, William Stanley",,"Park Ave, Oakland Ave","Lemuel L. Seaver, Herbert A. and Isabel A.c. Anderson, Edith Evelyn Nason, Leonard P. and Mary E. Lyons, William J., Joseph F. and Ellen E. Beecy",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T210-8_bp,42.430402,-71.05949,T210 bp,1927-08-22,"Malden, MA",Standard Oil Company of New York,,"Salem St, Porter St",Minnie B. Robbins,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T210-9_bp,42.353394,-71.158962,T210 bp,1927-08-10,"Brighton (Boston, MA)","Martinson, Gertrude M.",,"Faneuil St, Harriet St","Philomena Ame, Catherine Davis",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T210-9_bp,42.353394,-71.158962,T210 bp,1927-12-17,"Brighton (Boston, MA)","Martinson, Gertrude M.",,"Faneuil St, Harriet St","Philomena Ame, Catherine Davis",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T211-1,42.375341,-71.185774,T211,1927-05-03,"Watertown, MA",,Plan of Land,"Fitchburg St, Springfield St, Worcester St",sketch,,,,W.A. Mason & Son Co.
Perkins_M_T211-10,42.395121,-71.141989,T211,1927-06-30,"Cambridge, MA",American Oil Company,,Rindge Ave,,,,,W.A. Mason & Son Co.
Perkins_M_T211-10,42.395121,-71.141989,T211,1927-09-07,"Cambridge, MA",American Oil Company,,Rindge Ave,letter rom Commercial Ave. Trust about filling station,possibly associated with R211-10,,,W.A. Mason & Son Co.
Perkins_M_T211-11_bp,42.366535,-71.076361,T211 bp,1927-08-16,"Cambridge, MA",,Plan of Land,"Commercial Ave, Canal",National Casket Company,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T211-11_bp,42.366535,-71.076361,T211 bp,1927-08-16,"Cambridge, MA",,Plan of Land,"Commercial Ave, Canal",National Casket Company,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T211-12_bp,42.356134,-71.103317,T211 bp,1927-08-15,"Cambridge, MA",,Plan of Land,"Princeton Ave, Vassar St, Reardon St, Talbot St, Putnam Ave",Old Colony Trust Co.,blueprint,,blueprint,Aspinwall & Lincoln Civil Engineers
Perkins_M_T211-13,42.401356,-71.13729,T211,1927-09-19,"Arlington, MA",,Plan of Land,"Park Boulevard, Lafayette St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T211-14,42.32373,-71.388624,T211,1926-12-01,"Wayland, MA","Hamlen, Paul M.",,Old Connecticut Path,Abutter: Thomas,,,,W.A. Mason & Son Co.
Perkins_M_T211-14,42.32373,-71.388624,T211,1927-01-15,"Wayland, MA","Hamlen, Paul M.",,"Old Rd, Weston Aqueduct, Old Connecticut Path",,,,,W.A. Mason & Son Co.
Perkins_M_T211-16_bp,42.361905,-71.100136,T211 bp,1922-09-01,"Cambridge, MA","Douglass, Thomas G.",,"Green St, Sidney St, Blanche St, franklin St","Edward C. Savage, Caroline A. Simonds, Rufus Lamson, Asa C. Lamson",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T211-2_bp,42.359135,-71.115344,T211 bp,1926-12-07,"Cambridge, MA",,Plan of Land,"Memorial Drive, Pleasant St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T211-4,42.370035,-71.110345,T211,1927-01-19,"Cambridge, MA","Carrig, James A.",,Dana St,,,,,W.A. Mason & Son Co.
Perkins_M_T211-5,42.345501,-71.075417,T211,1926-12-30,"Boston, MA",,Plan of Land,Columbus St,,,,,W.A. Mason & Son Co.
Perkins_M_T211-5,42.345501,-71.075417,T211,1927-06-10,"Boston, MA",,Plan of Land,Columbus St,,,,,W.A. Mason & Son Co.
Perkins_M_T211-6,42.360015,-71.10733,T211,1927-05-17,"Cambridge, MA","Reardon, Edmund",,"Erie St, Pearl St",,,,,W.A. Mason & Son Co.
Perkins_M_T211-6,42.360015,-71.10733,T211,1927-05-20,"Cambridge, MA",John Reardon & Sons Co.,,"Erie St, Pearl St",,,,,W.A. Mason & Son Co.
Perkins_M_T211-7,42.310645,-71.124737,T211,1927-06-01,"Jamaica Plain (Boston, MA)",,Moss Hill,"Moss Hill Rd, Cedarwood Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T211-9,42.419615,-71.152434,T211,1927-09-19,"Arlington, MA","Winn, G.A. ",,"Mystic St, Summer St",,,,,W.A. Mason & Son Co.
Perkins_M_T212-1_bp,42.365889,-71.102904,T212 bp,1927-11-30,"Cambridge, MA","Corcoran, J.H.",,"Austin St, Essex St","Nora Keohane, Hanorh, Katherine R. Sullivan",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T212-1_bp,42.365889,-71.102904,T212 bp,1927-11-30,"Cambridge, MA","Corcoran, J.H.",,"Austin St, Essex St","Nora Keohane, Hanorh, Katherine R. Sullivan, Florence Gertrude Wentworth",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T212-10,42.371798,-71.104959,T212,1927-10-06,"Cambridge, MA",,Plan of Land,"Maple Ave, Broadway",,,,,W.A. Mason & Son Co.
Perkins_M_T212-12,42.343578,-71.138443,T212,1927-12-08,"Brookline, MA",Corey Rd.,,"Corey Rd, Summit Ave, Westbourne Terrace, City View Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T212-13_bp,42.361862,-71.100179,T212 bp,1922-09-01,"Cambridge, MA","Douglass, Thomas G.",,"Green St, Sidney St, Franklin St, Blanche St","Rufus Lemson, Asa C. Lamson, Caroline A. Simonds, Edward C. Savage",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T212-14,42.362968,-71.088881,T212,1927-11-22,"Cambridge, MA",,Plan of Land,"Main St,","Kendall, A.D. Little, Inc., Wm. Filene & Sons",,,,W.A. Mason & Son Co.
Perkins_M_T212-2_bp,42.365532,-71.103124,T212 bp,1927-10-07,"Cambridge, MA",,Plan of Premises,"Essex St, Mass Ave, Massachusetts Ave","J.H. Corcoran, W.t. Grant Co.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T212-4,42.362278,-71.094616,T212,1927-11-25,"Cambridge, MA",,Plan of Land,"Albany St, Portland St, Osborne St, Main St",,,,,W.A. Mason & Son Co.
Perkins_M_T212-5,42.368065,-71.093093,T212,1927-11-12,"Cambridge, MA",,Plan of Land,"Webster Ave, Bristol St",,,,,W.A. Mason & Son Co.
Perkins_M_T212-6,42.319062,-71.077589,T212,1927-09-14,"Boston, MA",,Plan of Land,"Blue Hill Ave, Julian St, Fairbury St",Woods,,,,W.A. Mason & Son Co.
Perkins_M_T212-7,42.355373,-71.105146,T212,1927-10-25,"Cambridge, MA",,Plan of Land,"Amesbury St, Putnam Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T212-7,42.355373,-71.105146,T212,1928-01-06,"Cambridge, MA",Cambridge Electric Light Co.,,"Amesbury St, Putnam Ave, Vassar St",,,,,W.A. Mason & Son Co.
Perkins_M_T212-8_bp,42.382086,-71.1749,T212 bp,1927-11-25,"Belmont, MA",,Plan of Land,"Common St, Payson Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-1,42.365972,-71.076704,T213,1926-04-17,"Cambridge, MA",Commercial Avenue Trust,,"Commercial Ave, Rogers St, Canal","""From the office of John T. Scully. Real Estate",,,,W.A. Mason & Son Co.
Perkins_M_T213-1,42.365972,-71.076704,T213,1931-05-19,"Cambridge, MA",Commercial Avenue Trust,,"Commercial Ave, Rogers St Canal","""From the office of John T. Scully. Real Estate",large overside waxed linen/folded.,,,W.A. Mason & Son Co.
Perkins_M_T213-2_bp,42.373328,-71.099326,T213 bp,1927-10-11,"Cambridge, MA",,Plan of Land,Cambridge St,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-3,42.351729,-71.136121,T213,1927-12-29,"Allston (Boston, MA)",Griggs Place,,"Allston St, Allston Sq",,,,,W.A. Mason & Son Co.
Perkins_M_T213-4_bp,42.36531,-71.102577,T213 bp,1928-01-05,"Cambridge, MA",,Plan of Premises,"Whitney Court Mass Ave, Massachusetts Ave, Essex St","Caroline A. Simmonds, Mary L Jones & Velma M. Morse, D. Adams and Albert M. Chandler, Olympia Theatres Inc.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-5_bp,42.366634,-71.191165,T213 bp,1927-12-16,"Watertown, MA",Conant Rd.,,"Conant Rd, Pleasant St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-6,42.371683,-71.095812,T213,1927-12-20,"Cambridge, MA","De Mello Tavares, Francisco",,"Lincoln St, Elm St",,,,,W.A. Mason & Son Co.
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1906-04-03,"Cambridge, MA","O'Neil, Bernard",,Gore St,"John P. Squire & Co., John P. Wyman, Joseph Barr",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1907-10-01,"Cambridge, MA",,Plan of properties February 1909,"Lambert St, Cambridge St","John P. Squire & Co., Frank O. Squire, Terrance F. Quinn, John A. Hedin, Bridget Regan, Alice L. Herbert",blueprint,,blueprint,"Adams, James"
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1921-10-18,"Cambridge, MA",,Plan of Land,Lambert St,"F.O. Squire, Emma L. McKelleget, Giles Trainor, Clara Levin",blueprint,,blueprint,"Falvey, John J."
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1927-11-01,"Cambridge, MA",,Plan of property February 1909,"Lambert St, Cambridge St","John P. Squire & Co., Frank O. Squire, Terrance F. Quinn, John A. Hedin, Bridget Regan, Alice L. Herbert",Copied from plan by James Adam C.E. Feb. 1909,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1927-11-04,"Cambridge, MA","Simeone, Pietro",,"Lambert St, Gore St","John P. Squire & Co., Thomas Marchuk and Silvester Beliaochuk, Salvatore Nocella",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-7_bp,42.372555,-71.086897,T213 bp,1927-11-04,"Cambridge, MA","Simeone, Pietro",,"Lambert St, Gore St","John P. Squire & Co., Thomas Marchuk and Silvester Beliaochuk, Salvatore Nocella",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-8,42.371089,-71.095362,T213,1927-12-23,"Cambridge, MA",,Plan of Land,"Columbia St, Lincoln St",,,,,W.A. Mason & Son Co.
Perkins_M_T213-8_bp,42.371089,-71.095362,T213 bp,1927-12-23,"Cambridge, MA",,Plan of Land,Columbia St,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T213-9_bp,42.365893,-71.059635,T213 bp,1927-12-01,"Boston, MA","Braman, Dow, & Co.",,"Medford St, Beverly St, Causeway St","Jessie Todd, Richards & Co., Inc. Everett Torrey",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T214-2,42.36265,-71.109969,T214,1928-02-08,"Cambridge, MA","Grace, Thomas F.",,"Warland St, Laurel St, Pleasant St",,,,,W.A. Mason & Son Co.
Perkins_M_T214-2_bp,42.36265,-71.109969,T214 bp,1928-02-08,"Cambridge, MA","Grace, Thomas F.",,"Warland St, Laurel St, Pleasant St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T214-7_bp,42.367121,-71.080191,T214 bp,1928-03-10,"Cambridge, MA",American Net & Twine Co.,,"Third St, Rogers St, Charles St, Second St","Independent Ice Company, Sarah A. Conlon, Sherwood B. Wetmore",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T214-7_bp,42.367121,-71.080191,T214 bp,1928-03-10,"Cambridge, MA",American Net & Twine Co.,,"Third St, Rogers St, Charles St, Second St","Independent Ice Company, Sarah A. Conlon, Sherwood B. Wetmore",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T214-9_bp,42.34355,-71.1384,T214 bp,1928-01-30,"Brighton (Boston, MA); Brookline, MA","Clark, Jenkins, Inc.",,"Summit Ave, City View Rd, Corey Rd, Westbourne Terrace",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-1_bp,42.364601,-71.107045,T215 bp,1928-04-14,"Cambridge, MA",,Plan of Land,"River St, Auburn St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-10,42.370161,-71.095936,T215,1928-04-06,"Cambridge, MA",,Plan of Premises,"Columbia St, Hampshire St",,"3 sheets of paper with drawings, 2 on Mason letterhead",,,W.A. Mason & Son Co.
Perkins_M_T215-12_bp,42.419544,-71.154993,T215 bp,1928-05-11,"Arlington, MA","Winn, G.A. ",,Summer St,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-14_bp,42.365738,-71.094959,T215 bp,1928-05-07,"Cambridge, MA","Rydberg, William",,"Clark St, Harvard St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-15_bp,42.52102,-71.103076,T215 bp,1928-06-05,"Reading, MA",Standard Oil Company of New York,,"Main St, Washington St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-15_bp,42.52102,-71.103076,T215 bp,1928-06-05,"Reading, MA",Standard Oil Company of New York,,"Main St, Washington St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-16_bp,42.343792,-71.138041,T215 bp,1928-06-07,"Boston, MA; Brookline, MA",,Plan of Land,"City View Rd, Summit Ave, Corey Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-2,42.389638,-71.1292,T215,1916-10-01,"Cambridge, MA",,Plan of Bolton Street,"Raymond St, Richdale Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T215-3_bp,42.361457,-71.115602,T215 bp,1928-03-29,"Cambridge, MA",Standard Oil Company of New York,,"Memorial Drive, River St",A.E. Holmes,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-3_bp,42.361457,-71.115602,T215 bp,1928-03-29,"Cambridge, MA",Standard Oil Company of New York,,"Memorial Drive, River St",A.E. Holmes,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-4,42.355143,-71.10881,T215,1928-03-30,"Cambridge, MA",,Plan of Land,"Henry St, Sidney St","Ford Motor Co., Rival Foods Inc.",,,,W.A. Mason & Son Co.
Perkins_M_T215-5_bp,42.399506,-71.137328,T215 bp,1928-03-20,"Cambridge, MA","McGray Jr., H.D.",,"Columbus Ave, Kimball St, Harrison Ave",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-5_bp,42.399506,-71.137328,T215 bp,1928-03-20,"Cambridge, MA","McGray Jr., H.D.",,"Columbus Ave, Kimball St, Harrison Ave",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-7_bp,42.367201,-71.085003,T215 bp,1928-03-19,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Bent St, Fifth St, Sixth St, Rogers St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-7_bp,42.367201,-71.085003,T215 bp,1928-03-19,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Bent St, Fifth St, Sixth St, Rogers St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-7_bp,42.367201,-71.085003,T215 bp,1928-08-01,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Bent St, Fifth St, Sixth St, Rogers St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-7_bp,42.367201,-71.085003,T215 bp,1928-08-01,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Bent St, Fifth St, Sixth St, Rogers St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T215-8,42.386321,-71.120993,T215,1928-03-29,"Cambridge, MA",,Plan of Premises,"Arlington St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T215-9_bp,42.4168,-71.158844,T215 bp,1928-04-05,"Arlington, MA",Tudor Trust,,"Ramsdell Court, Massachusetts Ave, Willow Place",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-1,42.37907,-71.144473,T216,1928-06-09,"Cambridge, MA",,Plan of Land,"Fresh Pond Parkway, Fresh Pond Lane",,,,,W.A. Mason & Son Co.
Perkins_M_T216-1_bp,42.37907,-71.144473,T216 bp,1928-06-09,"Cambridge, MA",,Plan of Land,"Fresh Pond Parkway, Fresh Pond Lane",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-11_bp,42.374984,-71.125794,T216 bp,1928-06-20,"Cambridge, MA","Moore, Annie",,"Hawthorne St, Acadia St, Mount Auburn St","David L. Bolger, Mary W. Durgan, George R. Sheppard, Harvey M. Davis, William B. Holt, Jean Jacques and Antoinette Emma Rosa Haffner",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-11_bp,42.374984,-71.125794,T216 bp,1928-06-20,"Cambridge, MA","Moore, Annie",,"Hawthorne St, Acadia St, Mount Auburn St","David L. Bolger, Mary W. Durgan, George R. Sheppard, Harvey M. Davis, William B. Holt, Jean Jacques and Antoinette Emma Rosa Haffner",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-12_bp,42.688891,-71.11697,T216 bp,1928-05-01,North Andover,"Bailey, Hannah R.; Bailey, Hollis R.",,"Osgood St, Court St, Academy Rd","George Stone, John F. Bannon",blueprint,,blueprint,W.A. Mason & Son Co.; William M. Smith
Perkins_M_T216-13_bp,42.307229,-71.192104,T216 bp,1928-06-27,"Dedham, MA",,"Topographical plan of land in Dedham, Mass.","Meadowbrook Rd,",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-14_bp,42.38936,-71.12087,T216 bp,1928-05-11,"Cambridge, MA",Cambridge Salvage Supply Co.,,"Broadway, Jordan Place",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-14,42.38936,-71.12087,T216,1928-07-21,"Cambridge, MA","Grovestein, R.C.; Galvin, William L.",,"Porter Rd, Porter Park",,,,,W.A. Mason & Son Co.
Perkins_M_T216-14_bp,42.38936,-71.12087,T216 bp,1928-07-21,"Cambridge, MA","Grovestein, R.C.; Galvin, William L.",,"Porter Rd, Porter Park",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-14_bp,42.38936,-71.12087,T216 bp,1928-07-24,"Cambridge, MA","Grovestein, R.C.; Galvin, William L.",,"Porter Rd, Porter Park",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-2_bp,42.361953,-71.113987,T216 bp,1928-05-01,"Cambridge, MA",,Plan of Land,"Metropolitan Sewer, Boston Elevated Railway Co, River St","Cambridge Electric Light Co., Webster J. Oliver",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-3_bp,42.368762,-71.157428,T216 bp,1928-06-27,"Watertown, MA","Boghosian, D.",,"Bigelow Ave, Nichols Ave",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-4_bp,42.365897,-71.082498,T216 bp,1928-06-19,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Binney St, Third St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-5,42.310609,-71.126314,T216,1928-04-23,"Jamaica Plain (Boston, MA)",,"Moss Hill, Jamaica Plain","Woodland Rd, Bowditch Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T216-6_bp,42.309562,-71.123536,T216 bp,1928-06-01,"Jamaica Plain (Boston, MA)",,"Moss Hill, Jamaica Plain","Cedarwood Rd, May St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-7_bp,42.395529,-71.09777,T216 bp,1928-07-11,"Somerville, MA","Nelson, Arthur T.",,"Main St, Edgar St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-7,42.395529,-71.09777,T216,1928-07-17,"Somerville, MA","Nelson, Arthur T.",,"Main St, Edgar St",,,,,W.A. Mason & Son Co.
Perkins_M_T216-8_bp,42.355999,-71.103001,T216 bp,1928-06-16,"Cambridge, MA",Crane Company,,"Greenhalge St, Vasser St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T216-9_bp,42.309308,-71.128975,T216 bp,1928-06-27,"Jamaica Plain (Boston, MA)",F.W. Norris and Co.,,"Moss Hill Rd, Woodland Rd, Pond St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-1,42.363768,-71.099503,T217,1928-09-19,"Cambridge, MA","Rogers, Edward H.",,"Main St, Columbia St",,,,,W.A. Mason & Son Co.
Perkins_M_T217-10_bp,42.366099,-71.185977,T217 bp,1929-12-26,"Watertown, MA",,Plan of Land,"Pleasant St, Main St","Union Market National Bank, Watertown Savings Bank, Herbert O. Townsend, Watertown Cooperative Bank, Watertown Savings Bank",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-10_bp,42.366099,-71.185977,T217 bp,1930-01-06,"Watertown, MA",,Plan of Premises,"Pleasant St, Main St","Union Market National Bank, Watertown Savings Bank, Herbert O. Townsend, Watertown Cooperative Bank, Watertown Savings Bank",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-11_bp,42.449966,-71.227466,T217 bp,1928-09-15,"Lexington, MA","Sheldon, Frank M.",,"Oakland St, Oakmount Circle, Marriott St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-12_bp,42.367835,-71.08121,T217 bp,1928-09-29,"Cambridge, MA",American Net & Twine Co.,,"Third St, Charles St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-12_bp,42.367835,-71.08121,T217 bp,1928-09-29,"Cambridge, MA",American Net & Twine Co.,,"Third St, Charles St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-13,42.372698,-71.109926,T217,1926-08-01,"Cambridge, MA",Cambridge Electric Light Co.,,"Walden St, King St",Sadie King,,,,W.A. Mason & Son Co.
Perkins_M_T217-13,42.372698,-71.109926,T217,1928-10-15,"Cambridge, MA",Cambridge Electric Light Co.,,"Blackstone St, Western Ave, Memorial Dr, Albro St","Houghton Mifflin Co., Standard Diary Co. [sic], Little Brown and Co. Inc., Jane Dickey, Elie H. LaPierce, William Johnson, Hannah Scott",,,,W.A. Mason & Son Co.
Perkins_M_T217-13,42.372698,-71.109926,T217,1928-10-18,"Cambridge, MA",Cambride Electric Light Co.,,"Broadway, Portland St","Mary Ann Garvey, Rose Cohen, Grace Wylie, William O. Bullock and Mabel R. Appleton",,,,W.A. Mason & Son Co.
Perkins_M_T217-13,42.372698,-71.109926,T217,1928-10-19,"Cambridge, MA",Cambridge Electric Light Co.,,"Putnam Ave, River St",Annie Weinstein and Samuel L. Klashman,,,,W.A. Mason & Son Co.
Perkins_M_T217-13,42.372698,-71.109926,T217,1928-10-20,"Cambridge, MA",Cambridge Electric Light Co.,,"Main St, Broad Canal","Boston Sand and Gravel Co., A. Jerome Thorner, Arthur G. McKenzie, Massachusetts Wharf Coal Co.",,,,W.A. Mason & Son Co.
Perkins_M_T217-13_bp,42.372698,-71.109926,T217 bp,1928-10-25,"Cambridge, MA",,Plan of Premises,"Broadway, Ellery St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-13_bp,42.372698,-71.109926,T217 bp,1928-10-30,"Cambridge, MA","Viano, Arthur F.",,"Whittemore Ave, Kassul Park, Seagrave Rd, Kimball St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-2,42.372167,-71.118348,T217,1928-08-03,"Cambridge, MA",,Plan of Premises,Holyoke St Bow St,,,,,W.A. Mason & Son Co.
Perkins_M_T217-3_bp,42.377949,-71.127194,T217 bp,1928-08-04,"Cambridge, MA","Bell, Mabel A.",,"Berkeley Place, Brattle St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T217-8_bp,42.365603,-71.084703,T217 bp,1928-09-08,"Cambridge, MA",American Linseed Co.,,"Munroe St, Fifth St","Francis B. Austin, Worthington Pump and Machinery Corp.,",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-10_bp,42.399118,-71.139157,T218 bp,1928-10-30,"Cambridge, MA","Viano, Arthur F.",,"Seagrave Rd, Whittemore Ave, Columbus Ave, Kimball St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-3_bp,42.367133,-71.085014,T218 bp,1928-03-19,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Rogers St, Fifth St, Sixth St, Bent St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-3_bp,42.367133,-71.085014,T218 bp,1928-03-19,"Cambridge, MA",Worthington Pump & Machinery Corp.,,"Rogers St, Fifth St, Sixth St, Bent St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-4_bp,42.378404,-71.12787,T218 bp,1928-10-01,"Cambridge, MA",,Plan of Premises,"Craigie St,","Mary E. Hopkinson, Mabel A. Bell, Elizabeth D. Swain",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-5_bp,42.369484,-71.161644,T218 bp,1928-10-18,"Watertown, MA","Farley, Millie E.",,"Oliver Rd, Adams St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-7,42.365536,-71.088839,T218,1928-11-28,"Cambridge, MA",,Industrial Site,"Broad Canal, Broadway",Butters: McHugh Realty Co.,,,,W.A. Mason & Son Co.
Perkins_M_T218-8_bp,42.452634,-71.222895,T218 bp,1928-10-06,"Lexington, MA","Sheldon, Frank M.",Topographical plan of land for Frank M. Sheldon,"Oakland St, Oakmount Circle, Marriott St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T218-9_bp,42.38673,-71.132956,T218 bp,1928-06-12,"Cambridge, MA",,Plan of Land,"Garden St, Atlanta Rd, Hazel St, Walden St, Sherman St, Ivy St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T219-10,42.364482,-71.078174,T219,1929-05-21,"Cambridge, MA",,Plan of Land,Commercial Ave,The National Casket Company,,,,W.A. Mason & Son Co.
Perkins_M_T219-11_bp,42.368152,-71.077198,T219 bp,1929-06-06,"Cambridge, MA",,Plan of Land,"First St, Canal",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T219-12_bp,42.353319,-71.154016,T219 bp,1929-05-22,"Brighton (Boston, MA)",,Plan of Land,Parsons St,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T219-13,42.412031,-71.155481,T219,1929-02-21,"Arlington, MA","Davis, Chester P.",,Addison St,,,,,W.A. Mason & Son Co.
Perkins_M_T219-13_bp,42.412031,-71.155481,T219 bp,1929-02-21,"Arlington, MA","Davis, Chester P.",,Addison St,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T219-14,42.403638,-71.16298,T219,1929-03-12,"Belmont, MA",,Plan of Land,Tobey Rd,,,,,W.A. Mason & Son Co.
Perkins_M_T219-16_bp,42.366245,-71.191063,T219 bp,1929-02-15,"Watertown, MA",,Plan of Land,"Pleasant St, Conant Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T219-17,42.384055,-71.115473,T219,1929-03-01,"Cambridge, MA","Conway, Thomas",,"Prentiss St, Traymore St",,,,,W.A. Mason & Son Co.
Perkins_M_T219-3_bp,42.361109,-71.108606,T219 bp,1929-02-07,"Cambridge, MA","Holmes, Frank W.",,"Magazine St, Erie St",,blueprint,,blueprint,W.A. Mason & Son Co.
