identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1484,,"Boston, MA",[Untitled - Charles and Revere Street],1828-04-24 (Copied 1888-10-16),,Joy; Mason; Otis; Sullivan,Charles Street; May Street [Revere Street]; Pickney Street; Charles River,"Subdivision plan showing 6 lots labelled with owners' names, alphanumeric identifiers, dimensions and sf. Lots straddle either side of Revere Street; Charles Street is labelled as 55 ft wide.","Per registry versions, sketch is part of a larger subdivision planned between Mill Dam and Sumner Street.",Suffolk Unindexed Plan Bk/Pg 330/999,"Wadsworth, Alexander (Copied by V.D.)",,C-1484-P,,1 in = 80 ft,42.35936275,-71.0706,Survey Plan,1,,1,12 x 9.5,Pencil on trace,Edge damage. Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1485,,"Boston, MA",[Untitled - Charles and Revere Street],1857-04-04 (Copied 1888-10-16),,"Boston Gas Light Company; Hoppin, John; Otis, Allenyne; Wood, Henry",Charles Street; May Street [Revere Street]; Charles River,"Plan of 5 lots with dimensions. One identified as ""brick houses"" bounded by ""Whitney's line"". Former location of Charles River identified as ""Channel"" bordered by ""sea wall.""",Suffolk Registry contains multiple versions of plan.,Suffolk Unindexed Plan Bk/Pg 716/23,"Wadsworth, Alexander (Copied by V.D.)",,C-1485-P,,1 in = 30 ft,42.35936275,-71.0706,Survey Plan,1,2,1,12.5 x 17,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1486,,"Boston, MA",[Untitled - Charles and Revere Street],(Copied),,Whitney,Charles Street; May Street [Revere Street]; Pickney Street,"Subdivision plan showing 4 blocks of lots, some of which lot designations and owner names. Is taken from a plan by H.W. Wilson filed in Suffolk Registry which contains reference to Mr. Whitney's land.",,Suffolk Unindexed Plan Bk/Pg 230/999,"Wilson, Henry W. (Copied by C.W.C.)",,C-1486-P,,Scale not given,42.35882503,-71.0707,Survey Plan,1,,1,11.5 x 9,Pencil on trace,Edge damage. Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1487,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street - Part of Plan L1758],1883-07-28 (Copied 1888-12-21),,"Brewer, Gardner, heirs; Johnson, John; Nawn, Owen; Surplus, Catherine and Patrick",Bickford Street; Centre Street; Parker Street; Wyman Place,Street layout showing dimensions and sf and outlines of buildings. Centre Street is shaded in red pencil. Note Indicates copied at City Hall.,Bickford Street was extended from Health to Centre between 1876 and 1882. Owen Nawn was a well-known general contractor in the 1870s.,,(Copied by C.W.C),,C-1487-P,,1 in = 20 ft,42.3231851,-71.1041,Survey Plan,1,4,1,38 x 19,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1488,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street - Part of Plan 66-232],1874-06-30 (Copied 1888-12-21),,"Brewer, Gardner, heirs.",Centre Street; Cherry Street,Street layout showing dimensions and sf and outlines of buildings. Note Indicates copied at City Hall.,,,(Copied by C.W.C),,C-1488-P,,1 in = 40 ft,42.3231851,-71.1041,Survey Plan,1,,1,30.5 x 16,Pencil on trace,Edge damage. Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1489,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street - Part of a Plan #541],1870-01-01 (Copied 1888-12-21),,"Brewer, Gardner; Conant, Eliza; Lowell, R. A. & A. C., heirs; Smith, et al.",Centre Street; Walden Place [Defunct]; Walden Street,"Subdivision plan showing lots A, B, and C with dimensions and sf. Lots are pt of a larger lot outlined in red. One lot is marked as taken by the City of Boston for Walden Street.","Formerly Walden Place, Walden Street was extended from Heath to Centre Street in 1874. Surveyor Moses did previous surveys of Centre Street (https://collections.leventhalmap.org/search/commonwealth:9s161f53q)",,"Moses, Theodore Bland. (Copied by C.W.C.)",,C-1489-P,,1 in = 40 ft,42.3231851,-71.1041,Survey Plan,1,4,1,27 x 23.5,Pencil on trace,Edge damage. Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1490,"Centre Street, JP","Jamaica Plain (Boston, MA)",Plan of Centre Street Lots owned by The Workingmen's Building Association,(Copied 1889-04-27),Workingmen's Building Association,,Centre Street; Creighton Street; Day Street; Edge Hill Street; Minden Street; Round Hill Street; Walden Street,Subdivision plan showing layout of lots spread across multiple blocks. Lots display dimensions and sf. Note indicates plan copied from original loaned by Meredith & Nelson. Some edits in red ink.,"Per urban atlases, subdivision was developed with new streets as drawn on the plan. May have been developed by philanthropist Robert Treat Paine from land purchased from the Susan Weld farm: https://www.jphs.org/people/2005/4/14/robert-treat-paine-housing-reformer.html",Suffolk Unindexed Deed Bk/Pg 1826/570,(Copied),,C-1490-P,,1 in = 40 ft,42.3231851,-71.1041,Survey Plan,1,4,1,38 x 24,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1491,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street - Part of a Plan #483],1883-07-23 (Copied 1888-12-21),,"Brewer, Gardner; Cramer, John, heirs; Johnson, John; Nawn, Owen; Roxbury Institution for Savings; Surplus, Catherine and Patrick; Union for Christian Work; Wesket, Justias, Jr.",Bickford Street; Centre Street; Walden,"Plan of street layout of Centre Street, showing location of abutters lots and one lot, outlined in red alongside street with sf and dimensions. Copied from part of plan at engineer's office.",,,(Copied by C.W.C),,C-1491-P,,1 in = 20 ft,42.3231851,-71.1041,Survey Plan,1,4,1,38 x 24,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1492,"Centre Street, JP","Jamaica Plain (Boston, MA)",[Untitled - Centre Street - Plan of L957],1874-10-09,,"Brewer, Gardner; Chester, Ezra; Conant; Shepherd; Thompson; Walden",Centre Street; Houghton Place [Mozart Street],Street plan with three lots and street elevation profiles. Lots display dimensions and sf. Elevations taken from base mean at low tide. Copied from part of Plan L957? At City Engineer's Office.,,,(Copied),,C-1492-P,,1 in = 40 ft,42.3231851,-71.1041,Survey Plan,1,4,1,23.5 x 23.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1493,,"Boston, MA",Plan of the Estate of Erastus B. Badger,1867-04-01 (Copied 1889-04-30),"Badger, Erastus Beethoven, estate of","Darling, C.K.; Foster, John; Foster, William, estate of; Rhoades, William",Broad Street,"Plan of two lots, displaying dimensions and sf. Contains a table of sf including net after widening adjacent Broad Street. Edits in red show proposed taking by City to widen Broad Street.",E.B. Badger Co. were coppersmiths which cast Boston's iconic copper teakettle.,,"Perkins, Charles C. (Copied)",,C-1493-P,,1 in = 5 ft,42.35691607,-71.0517,Survey Plan,1,2,1,23.5 x 19,Pencil on trace,Buckling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1494,,"West Roxbury (Boston, MA)",Plan of Land in West Roxbury conveyed by _____ Whitney to George Tilden.,1879-05-01 (Copied),"Tilden, James ; Whitney, Israel G.",,Lagrange Street,Lot plan showing lot abutted by wide driveway. Displays dimensions and sf.,Nathaniel Smith was a surveyor active in Eastern Massachusetts; see Norfolk registry for other surveys.,,"Smith, Nathaniel (Copied)",,C-1494-P,,1 in = 20 ft,42.27950227,-71.1584,Survey Plan,1,2,1,17.5 x 9.5,Pencil on trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1495,,"West Roxbury (Boston, MA)",Plan of Land in West Roxbury belonging to Israel G. Whitney,1880-12-08 (Copied),"Whitney, Israel G.","Billings, East, heirs; Crosby",Lagrange Street,,,,(Copied by V.D.),,C-1495-P,,1 in = 80 ft,42.27950227,-71.1584,Survey Plan,1,,1,14.5 x 10,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1496,,"Boston, MA",Part of Plan - Essex Place,1880-05-26 (Copied 1888-12-22),,"Ames, Fred L.; Bennett, Joshua; Hollingsworth, Ellis",Essex Place [Defunct]; Essex Street,"Layout of street with lot frontage and owners' names. Very faded and difficult to decipher. Note indicates copied from City Engineer's office, Plan L-1475.",,,(Copied by V.D.),,C-1496-P,,1 in = 20 ft,42.27950227,-71.1584,Survey Plan,1,2,1,19 x 12,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1497,,"Boston, MA",Plan of Estate on Bedford Street Belonging to Heirs of Jasper A. Foster.,1867-06-25 (Copied 1889-01-17),"Foster, Jasper H.","Alkins, Isaac.; Clark, C.W.; Haynes, John C.; Hunnewell, H. H., trust; Klaus, S.; Rhodes & Ripley; Stearns, R. H.; New South Church",Bedford Street; Kingston Street,"Plan of multiple lots connected by a passage. Displays dimensions and sf. Yards, wood sheds, and houses referenced. Several lots are outlined by hatched walls and edits in red pencil. Contains a table of relevant registry deeds and grantor/grantee information. Indicates copied from City Surveyor Plan M-243. ",,Suffolk Unindexed Deeds Bk/Pg 213/151; 217/166; 218/53; 227/118;229/137; 337/93,"Davis, Thomas W. (Copied)",,C-1497-P,,1 in = 10 ft,42.35330549,-71.0594,Survey Plan,1,2,1,24 x 20.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1498,,"Boston, MA",[Untitled - Bedford and Kingston Streets],1876-05-06 (Copied 1889-01-17),,"Alkins, R.E.; Clark, C.W.; Stearns, R. H.; Hunnewell, H. H., trust.",Bedford Street; Kingston Street,Plan of 6 lots abutted by passage. Displays dimensions and sf. Several lots are outlined by hatched walls and edits in red pencil. Contains a table of relevant registry deeds and grantor/grantee information. Indicates copied from City Surveyor Plan Vol. 34 - 14. Note says additions in red made by C.E.,,Suffolk Unindexed Deeds Bk/Pg 213/151; 218/53; 227;229/137; 337/93,"Wadsworth, Alexander",,C-1498-P,,1 in = 10 ft,42.35330549,-71.0594,Survey Plan,1,2,1,24 x 17,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1499,,"Boston, MA",[Untitled - Mr. Codman's wall],1841-04-10 (Copied 1889-05-06),,"Codman, J. Amory",School Street,"Sketch showing outline of edges of buildings with dimensions of lot fronts. Notes indicated may be a copy of, or an additional overlay on, Wadsworth Plan by S. P. Fuller dated 1832-01-11. Notes indicate part of Plan Vol. 37-11. Street is labelled school street with a question mark.",Urban atlases show property adjacent to Niles building that was owned by J. Amory Codman with a similar building outline.,,"Wadsworth, Alexander (Copied)",,C-1499-P,,1 in = 10 ft,42.35771558,-71.0593,Survey plan,1,,1,13.5 x 8.5,Pencil on trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1500,,"Boston, MA",Plan of proposed widening of 1872 [Part of plan],1872-01-01 (Copied),City of Boston,"City of Boston Police Station No. 2; Codman, J. Amory; Niles, William F.;",City Hall Avenue; School Street,Layout of part of block showing broad outlines and names of property owners. Note indicates is part of plan C-C-121 from City Surveyors Office. Page section containing information about provenance of copying has been torn off.,Site owned by William Niles was shown on both the plan and on urban atlases as Niles' Block and is a noteworthy historical building. The proposed widening may relate to the City's focus following the Great Fire to widen certain streets.,,Boston City Surveyor (Copied),,C-1500-P,,1 in = 20 ft,42.35771558,-71.0593,Survey plan,1,,1,12 x 15,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1501,Alvin Adams Estate Plans,"Watertown, MA","Plan of School Street Extension, Watertown",1889-07-01 (Copied 1889-07-01),Watertown,"Adams, Alvin, heirs; Brown, B., heirs; Stickney, Josiah, heirs; Wilson, George; ",Mount Auburn Street; School Street; Walnut Street,Street layout showing School Street between Mt. Auburn and Walnut Streets. Displays dimensions for lot frontages and street widths and abutters' names. Note indicates copies from a plan loaned by Mr. Adams. Contains extensive note in purple ink regarding comments on dimensions.,,,"Leonard, W. F. (Copied by H. M.)",,C-1501-P,,1 in = 100 ft,42.36764699,-71.1658,Engineering Drawing,1,2,1,28 x 15.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1502,,"Boston, MA",[Untitled - Harrison Avenue],1862-09-18 (Copied 1888-06-25),,Harrison School,13 - 15 Harrison Avenue,Lot plan showing 64 foot wide lot abutted by common passageway and walls hatched and outlined in red pencil. Note comments on elevation of surface compared with curb. Contains facsimile of stamp for Boston City Surveyors Office Vol. 18-67. ,,,(Copied by H.M.),,C-1502-P,,1 in = 4 ft,42.35198357,-71.0614,Survey Plan,1,2,1,21 x 28,Pencil on vellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1503,,"Boston, MA",[Untitled - Harrison Avenue],1862-06-18 (Copied 1888-06-25),,Harrison School,13 - 15 Harrison Avenue,Lot plan showing 22 foot wide lot with building footprint and walls hatched and outlined in red pencil. Note indicates section of wall adjusted by deed to City of Boston and to James Dodd. Contains facsimile of stamp for Boston City Surveyors Office Vol. 18-68. ,"Per urban atlases, lot owned by James Dodds' heirs.",,(Copied by H.M.),,C-1503-P,,1 in = 4 ft,42.35198357,-71.0614,Survey Plan,1,2,1,10.5 x 26,Pencil on vellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1504,,"Boston, MA",[Untitled - Harrison Avenue],1862-07-14 (Copied 1888-06-25),,"Dodd, James; Jameson & Gilbert",13 - 15 Harrison Avenue; [Hersey Place],"Lot plan showing three lots, with dimensions and sf. Dimensions from multiple sources are shown. Lots are outlined in different colors. One shows building footprint; another is abutted by 12 foot wide passageway. Contains facsimile of stamp for Boston City Surveyors Office Vol. 18-74. Note indicates some lines taken from plan at City Hall.","Per urban atlases, site was originally the Harrison School, then eventually owned by J.D. W. Joys et al.",,(Copied by H.M.),,C-1504-P,,1 in = 5 ft,42.35198357,-71.0614,Survey Plan,1,2,1,23.5 x 28,Pencil on vellum,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1505,Alvin Adams Estate Plans,"Watertown, MA",[Untitled - School Street street section],1889-07-26,,,Mount Auburn Street; School Street; Walnut Street,Section elevation showing School Street between Mt. Auburn and Walnut Streets/Fitchburg Railroad. Shows elevations heights at 22 locations starting from base 30. Note indicates copies from a plan loaned by Mr. Leonard. Contains alternate dimensions in red ink.,,,(Copied by H.M.),,C-1505-P,,Horiz: 1 in = 80 ft; Vert: 1 in = 40 ft,42.36764699,-71.1658,Engineering Drawing,1,3,1,9 x 63,Ink on vellum,Uneven pieces taped together. Buckling. Stains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1506,Dana Estates,"Cambridge, MA",Estates (in Cambridge) belonging to the heirs of the Hon. F. Dana,(Copied 1889-01-21),"Dana, Francis, heirs",,Auburn Street; Brighton Road [River Street]; Canal Street; Charlestown Road; Concord Street; First Parallel; Grove Street [Pleasant Street]; Harvard Street; Inn Street [Pearl Street]; Magazine Street; Parallel Street; Second Parallel; Watertown Road; Williams Street,Street layout showing blocks in Cambridgeport and east Cambridge with streets and lots. Also borders of waterways. Various blocks are outlined in either red and/or blue pencil.,"Based on the street names, original probably was produced in the early 19th century.",,"Hayward, James (Copied by H. M.)",,C-1506-P,,1 in = 200 ft,42.36541244,-71.1042,Survey Plan,1,4,1,38 x 24,Pencil on trace,Discoloration. Edge damage. Multiple folds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1507,Dana Estates,"Cambridge, MA",[Untitled - Dana and Etheridge Plots],1844-09-03 (Copied 1889-01-17),"Dana, Richard Henry; Etheridge; Lawrence",,,Lot plan showing a single lot bordered in red pencil with dimensions and square acreage and two dashed lines indicating 50 ft pathway. Shows abutters. Note indicate was copied from original plan at office of W.H. Whitney and written on back are notes regarding Etheridge and Lawrence marshes.,,,"Mason, W.A. (Copied by V.F.J.)",,C-1507-P,,1 in = 30 ft,,,Survey Plan,1,,1,19 x 11,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1508,Dana Estates,"Cambridge, MA",Plan of F. Dana's Great Marsh; Plot of Land belonging to ,1776-12-20 (Copied 1889-12-18),Dana,"Trowbridge, E.",,"Plan of four lots labelled A, B, C, D. Shows dimensions and reference points. Contains table of acreage and other information for each plot. Shows border of Indicates that Lot D is a true copy of Mr. Auburn's plan dated 05-19-1703.",Chadwick was a well-known colonial-era surveyor.,,"Chadwick, Joseph (Copied by G.M.C.)",,C-1508-P,,1 in = 16 rods / 4 chains (264),42.35922495,-71.1026,Survey Plan,1,,1,13 x 19,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1509,Dana Estates,"Cambridge, MA",[Untitled - Land in Cambridge],(Copied 1889-01-17),"Dana, Richard Henry; Etheridge",Boston and Albany Railroad,Pacific Street; Sidney Street; Waverly Street,"Plan of two lots, displaying dimensions. Smaller lot indicates Etheridge to Dana. Note indicates plan was loaned by R.H. Dana for copying and had no scale, date, or surveyor name but mark on back mentions Lawrence Marsh. Street names have been added in purple ink.",,,(Copied by H.M.),,C-1509-P,,Scale not given,42.35922495,-71.1026,Survey Plan,1,,1,8 x 15,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1510,Dana Estates,"Cambridge, MA",Great Marsh of Sarah A. Dana,1843-07-01 (Copied 1889-01-16),"Dana, Sarah A.; ",,Brookline Street,"Subdivision plan showing Lots numbered 1 thru 5. Displays dimensions and square acreage. Some lots have straddle markings. Handwritten note indicates that ""this marsh is divided into 5 lots for convenience in selling grass."" Boundaries are partially determined by ditches running crosswise. Note indicates plan was loaned by R.H. Dana for copying.",,,(Copied by H.M.),,C-1510-P,,Scale not given,42.35861134,-71.1066,Survey Plan,1,,1,11 x 13,Ink and pencil on vellum,Discoloration. Stains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1511,Dana Estates,"Cambridge, MA","Plan of Land in Cambridge belonging to E.R. Hoar & F.E. Parker, Trustees, for Richard F. Dana",1875-05-23 (Copied 1889-01-18),"Dana, Richard F.; Hoar, E.R.; Parker, F.E.",,Auburn Street; Brookline Street; Hastings Square; Tufts Street; Washington Square {Fort Washington Park],"Plan showing multiple lots, one outlined in red pencil with dimensions and sf. Note indicates that letters and figures enclosed in brackets are penciled in original plan.",Referenced in Cambridge Historical Society finding aid for maps: https://historycambridge.org/finding-aids/maps-and-plans-collection-1635-2012/,,"Wilson, Walter M. (Copied)",,C-1511-P,,1 in = 100 ft,42.36212334,-71.1033,Survey Plan,1,2,1,38 x 24,Pencil on trace,Edge damage. Multiple folds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1512,Dana Estates,"Cambridge, MA",[Untitled - Goff's Cove],(Copied 1889-01-17),"Dana, Richard Henry",,Goff's Cove,Plan showing body of water with hatching titled Goff's Cove abutted by a bridge and the Union Railroad. Note indicates was drawn from the office of W.A. Mason.,Goff's Cove was a marsh near what is now Goose Park.,,(Copied by V.D.),,C-1512-P,,1 in = 50 ft,42.35359958,-71.1103,Survey Plan,1,,1,20 x 13.5,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1513,Dana Estates,"Cambridge, MA",[Untitled - Auburn Street and Canal Street],(Copied 1889-01-17),"Dana, Richard Henry",,Auburn Street; Canal Street [Brookline Street],"Lot plan showing 3 lots on a block abutting ""old canal"" and a ditch. Lots display dimensions and sf. Contains table tabulating lot sf totals. Note indicates copied from plan loaned by F. A. Dana.",,,(Copied by V.D.),,C-1513-P,,1 in = 50 ft,42.36236802,-71.103,Survey Plan,1,,1,14 x 8,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1514,Dana Estates,"Cambridge, MA",Oyster Bank Road,(Copied 1889-01-21),"Dana, Richard Henry",Warland; Whalen & Grey,Canal Street {Brookline Street]; Grove Street; Middle Street; Oyster Bank Road;,"Subdivision plan showing multiple blocks of lots, some with dimensions and numbers and owner's names. Note indicates loaned by R.H. Dana.",Exact location is unclear but Oyster Banks are referenced in Lucius Page's History of Cambridge: https://archive.org/details/historycambridg01paiggoog; was near the Great Marsh in the Cambridgeport area.,,(Copied by L.H.J.),,C-1514-P,,Scale not given,42.35845171,-71.1049,Survey Plan,1,4,1,24 x 38,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1515,Dana Estates,"Cambridge, MA",F Dana's Great Marsh,(Copied 1889-01-17),"Dana, Richard Henry","Howard, J.A. & J.D.",[Clarkes' Marsh];[Goff's Cove};[Whittemore's Marsh],"Plan showing several lots with acreage and border measurements. Note indicates copy of original plan loaned by R. H. Dana, Esq. Lacks identifying streets but indicates canals, ditches, and other land features.",Exact location is unclear but various sites are referenced in Lucius Page's History of Cambridge: https://archive.org/details/historycambridg01paiggoog Dana was a major landowner in Cambridgeport in the 18th and 19th centuries. The Cambridge Historical Society contains an archive of maps produced by Dana (https://historycambridge.org/finding-aids/maps-and-plans-collection-1635-2012/) which references c. 1806 a plan of Dana's great marsh.,,(Copied by V.D.),,C-1515-P,,Scale not given,42.35845171,-71.1049,Survey Plan,1,,1,19 x 14,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W66_C1516,Dana Estates,"Cambridge, MA","Copy of Plan made by W. A. Mason for heirs of S. P. Allen, 1869",1869-01-01 (Copied 1889-01-18),"Allen, S.P.","Boston & Albany Railroad; Brooks; Dana, M.R.; Dalrymple; Davenport & Company; Lawrence; Osborn; Otis",Auburn Street; Brookline Street; Franklin Street; Front Street; Goffes Cove; Green Street; Main Street; Osborn Street; Pilgrim Street; Sidney Street; State Street,"Plan showing street layout, made from a plan of land owned by ""Mr. Dana."" Lot showing transfer from Etheredge to Dana contains dimensions as do select other lots.",,,"Mason, W.A. (Copied by G.W.C.? )",,C-1516-P,,1 in = 200 ft,42.36339763,-71.1004,Survey Plan,1,,1,19 x 18,Pencil on trace,Edge damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
